Unnamed: 0,IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate,Total Guest,HasChildren,HasBabies,Total Stay Duration,Revenue,TotalPreviousBookings,CancellationRate,BookingChangeRate
0,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,Transient,0.0,0,0,Check-Out,2015-07-01,2,0,0,0,0.0,0,0.0,0.0087463556851311
1,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0,Transient,0.0,0,0,Check-Out,2015-07-01,2,0,0,0,0.0,0,0.0,0.005420054200542
2,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,0,0,1,75.0,0,0.0,0.0
3,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,75.0,0,0,Check-Out,2015-07-02,1,0,0,1,75.0,0,0.0,0.0
4,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.0,0,1,Check-Out,2015-07-03,2,0,0,2,196.0,0,0.0,0.0
6,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,107.0,0,0,Check-Out,2015-07-03,2,0,0,2,214.0,0,0.0,0.0
7,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,103.0,0,1,Check-Out,2015-07-03,2,0,0,2,206.0,0,0.0,0.0
8,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,1,Canceled,2015-05-06,2,0,0,3,246.0,0,0.0,0.0
9,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,105.5,0,0,Canceled,2015-04-22,2,0,0,3,316.5,0,0.0,0.0
10,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,Canceled,2015-06-23,2,0,0,4,492.0,0,0.0,0.0
11,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,145.0,0,0,Check-Out,2015-07-05,2,0,0,4,580.0,0,0.0,0.0
12,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,0,3,Check-Out,2015-07-05,2,0,0,4,388.0,0,0.0,0.0
13,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,0,Transient,154.77,0,1,Check-Out,2015-07-05,3,1,0,4,619.08,0,0.0,0.0526315789473684
14,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,94.71,0,0,Check-Out,2015-07-05,2,0,0,4,378.84,0,0.0,0.0
15,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,0,3,Check-Out,2015-07-05,2,0,0,4,388.0,0,0.0,0.0
16,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,97.5,0,0,Check-Out,2015-07-05,2,0,0,4,390.0,0,0.0,0.0
17,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,88.2,0,0,Check-Out,2015-07-02,2,0,0,1,88.2,0,0.0,0.0
18,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,Transient,107.42,0,0,Check-Out,2015-07-02,2,0,0,1,107.42,0,0.0,0.0
19,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,1,Check-Out,2015-07-05,2,0,0,4,612.0,0,0.0,0.0
20,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,97.29,0,1,Check-Out,2015-07-06,1,0,0,5,486.4500000000001,0,0.0,0.0
21,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,84.67,0,1,Check-Out,2015-07-07,2,0,0,6,508.02,0,0.0,0.0136986301369863
23,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,99.67,0,1,Check-Out,2015-07-07,2,0,0,6,598.02,0,0.0,0.0136986301369863
24,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,0,Contract,94.95,0,1,Check-Out,2015-07-01,2,0,0,7,664.65,0,0.0,0.0
25,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.6,1,0,Check-Out,2015-07-08,2,0,0,7,445.2,0,0.0,0.0
26,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,Check-Out,2015-07-08,2,0,0,7,556.5,0,0.0,0.0
27,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,107.0,0,2,Canceled,2015-05-11,2,0,0,7,749.0,0,0.0,0.0
28,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.0,0,0,Check-Out,2015-07-08,2,0,0,7,658.0,0,0.0,0.0
29,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,87.3,1,1,Check-Out,2015-07-08,2,0,0,7,611.1,0,0.0,0.0
30,0,118,2015,July,27,1,4,10,1,0,0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,62.0,0,2,Check-Out,2015-07-15,1,0,0,14,868.0,0,0.0,0.0168067226890756
31,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.86,0,0,Check-Out,2015-07-16,2,0,0,15,957.9,0,0.0,0.0
32,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,108.3,0,2,Canceled,2015-05-29,2,0,0,10,1083.0,0,0.0,0.0
33,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,65.5,0,0,Check-Out,2015-07-08,2,0,0,6,393.0,0,0.0,0.0
34,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Canceled,2015-05-19,3,0,0,4,435.2,0,0.0,0.0
35,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Canceled,2015-06-19,3,0,0,4,435.2,0,0.0,0.0
36,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,0,Check-Out,2015-07-06,2,0,0,4,392.0,0,0.0,0.0
37,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Check-Out,2015-07-06,3,0,0,4,435.2,0,0.0,0.0
38,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,0,Canceled,2015-05-23,3,0,0,4,435.2,0,0.0,0.0
39,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,137.0,0,1,Check-Out,2015-07-07,2,0,0,5,685.0,0,0.0,0.0
40,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,Canceled,2015-05-18,2,0,0,5,589.05,0,0.0,0.0
41,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,Check-Out,2015-07-07,2,0,0,5,397.5,0,0.0,0.0
42,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-07,2,0,0,5,615.0,0,0.0,0.0
44,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,2,Check-Out,2015-07-09,2,0,0,7,774.9,0,0.0,0.0
45,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,0,Canceled,2015-06-02,4,1,0,7,1071.0,0,0.0,0.0
46,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,58.95,0,1,Check-Out,2015-07-09,2,0,0,7,412.65,0,0.0,0.0
47,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,2,0,0,7,580.16,0,0.0,0.0
48,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,0,Contract,82.35,0,0,Check-Out,2015-07-09,2,0,0,7,576.4499999999999,0,0.0,0.0109890109890109
49,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,0,Transient,119.35,0,1,Check-Out,2015-07-09,2,0,0,7,835.4499999999999,0,0.0,0.0196078431372549
50,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,2,0,0,7,473.06,0,0.0,0.0
51,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,56.01,0,0,Check-Out,2015-07-13,2,0,0,11,616.11,0,0.0,0.0
52,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,110.7,0,0,Check-Out,2015-07-16,2,0,0,14,1549.8,0,0.0,0.0
53,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,88.2,1,0,Check-Out,2015-07-03,2,0,0,1,88.2,0,0.0,0.0
54,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,147.0,1,0,Check-Out,2015-07-03,2,0,0,1,147.0,0,0.0,0.0
55,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,107.0,1,2,Check-Out,2015-07-03,4,1,0,1,107.0,0,0.0,0.0
56,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,147.0,0,0,Check-Out,2015-07-03,2,0,0,1,147.0,0,0.0,0.0
57,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,117.9,0,2,Check-Out,2015-07-03,2,0,0,1,117.9,0,0.0,0.0
58,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-03,2,0,0,1,123.0,0,0.0,0.0
59,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,1,Check-Out,2015-07-04,2,0,0,2,196.0,0,0.0,0.0
60,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,Check-Out,2015-07-04,2,0,0,2,235.62,0,0.0,0.0
61,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,135.0,1,2,Check-Out,2015-07-04,2,0,0,2,270.0,0,0.0,0.0
62,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,133.0,0,1,Check-Out,2015-07-05,2,0,0,3,399.0,0,0.0,0.0
63,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Contract,58.95,0,0,Check-Out,2015-07-05,2,0,0,3,176.85000000000002,0,0.0,0.0
64,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,136.33,0,2,Canceled,2015-06-29,2,0,0,3,408.99,0,0.0,0.0
65,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,0,Transient,153.0,1,0,Check-Out,2015-07-05,4,1,0,2,306.0,0,0.0,0.0
66,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,110.5,0,0,Check-Out,2015-07-05,2,0,0,2,221.0,0,0.0,0.0
67,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,0,Check-Out,2015-07-05,2,0,0,2,194.0,0,0.0,0.0
68,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.3,0,2,Canceled,2015-06-16,3,0,0,2,220.6,0,0.0,0.0
69,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,2,Canceled,2015-06-18,2,0,0,2,164.0,0,0.0,0.0
70,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,1,Canceled,2015-07-03,2,0,0,2,194.0,0,0.0,0.0
71,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,1,Canceled,2015-06-12,2,0,0,2,147.6,0,0.0,0.0
